rank,astrodeep_id,field,ra,dec,zphot,zspec,has_nirspec,mahal_dist,class_star,r50_px,mag_F444W,snr_F444W,f_F814W,f_F115W,f_F150W,f_F200W,f_F277W,f_F356W,f_F410M,f_F444W
1,83259,JADESGSO,53.07634,-27.909923,7.475,,False,0.133,0.99,3.235,25.34,89.7,0.00096,0.02655,0.01728,0.02146,0.04758,0.14189,0.29963,0.26548
2,70273,JADESGNO,189.109564,62.228453,7.5,,False,0.198,0.97,3.072,25.528,101.1,0.00812,0.01678,0.01115,0.00975,0.03239,0.10412,0.24673,0.22333
3,59838,JADESGNO,189.269656,62.175925,4.725,,False,0.286,0.98,3.303,26.123,59.2,0.02148,0.01728,0.02972,0.03606,0.11122,0.19511,0.11923,0.12912
4,57424,JADESGNO,189.25366,62.163411,6.1,,False,0.304,0.98,3.585,26.834,41.1,0.00769,0.01384,0.01623,0.01405,0.0419,0.07589,0.06064,0.06705
5,81297,JADESGNO,189.081079,62.295055,4.925,,False,0.382,0.98,3.155,25.909,45.0,0.01807,0.02226,0.02428,0.03323,0.13329,0.16661,0.13491,0.15717
6,88259,JADESGSO,53.078859,-27.884155,5.563,5.563,False,0.399,0.99,3.644,22.793,637.3,0.36599,0.67126,0.58342,0.7335,1.19273,2.76601,2.57726,2.77243
7,165581,PRIMERCO,150.100967,2.41942,4.66,4.66,False,0.401,1.0,3.364,19.694,1809.9,2.18295,4.2069,9.046,14.7494,26.1057,49.4753,44.266,48.1062
8,14126,CEERSO,215.08027,52.907898,7.475,,False,0.404,0.93,4.739,23.469,224.7,0.00679,0.14359,0.15525,0.14355,0.19893,0.73725,1.5326,1.48778
9,79338,JADESGNO,189.06118,62.284112,7.475,,False,0.431,0.83,3.961,25.117,115.1,0.00425,0.01575,0.01901,0.02874,0.06764,0.14887,0.4618,0.32587
10,61598,JADESGNO,189.339475,62.184772,7.45,,False,0.489,0.93,4.013,24.701,210.6,0.0039,0.06904,0.07843,0.07511,0.09798,0.3369,0.55086,0.47798
11,86482,JADESGSO,53.11907,-27.892555,7.575,,False,0.527,0.98,3.923,26.225,52.9,4e-05,0.01127,0.01082,0.01278,0.02208,0.04908,0.13951,0.11749
12,75363,JADESGNO,189.211519,62.255333,4.65,,False,0.538,0.97,2.932,26.83,38.2,0.01738,0.01436,0.02003,0.01709,0.04609,0.07901,0.05442,0.06728
13,190210,PRIMERUO,34.255547,-5.25654,6.175,,False,0.538,0.92,4.006,25.59,47.1,0.02919,0.0346,0.03324,0.04405,0.10269,0.1845,0.20848,0.21089
14,109143,JADESGSO,53.101878,-27.810947,5.3,,False,0.563,0.98,3.054,26.272,50.7,0.01228,0.00541,0.00742,0.00881,0.0314,0.05366,0.12232,0.11256
15,135951,PRIMERCO,150.089789,2.261681,5.6,,False,0.575,0.97,3.231,25.377,134.3,0.04105,0.0465,0.05061,0.04326,0.12348,0.21912,0.22135,0.25645
16,77087,JADESGNO,189.057089,62.268931,5.236,5.236,False,0.606,0.98,3.064,25.539,77.6,0.01407,0.00853,0.01248,0.01011,0.051,0.07014,0.29368,0.22108
17,32512,CEERSO,214.758698,52.749725,6.4,,False,0.612,0.99,3.376,25.584,53.8,0.05222,0.03476,0.03547,0.04148,0.08757,0.17027,0.16975,0.21205
18,142716,PRIMERCO,150.150659,2.296891,4.775,,False,0.632,0.95,3.53,25.823,135.0,0.02826,0.02789,0.03298,0.05042,0.16227,0.19822,0.1535,0.17014
19,100000,JADESGSO,53.089744,-27.845215,4.736,4.736,False,0.665,0.94,4.098,24.957,439.2,0.07182,0.07182,0.07995,0.08326,0.26064,0.39244,0.35281,0.37767
20,101959,JADESGSO,53.067296,-27.838334,7.975,,False,0.667,0.98,2.974,26.35,64.6,3e-05,0.00835,0.00723,0.00759,0.01763,0.05012,0.05899,0.10469
21,71426,JADESGNO,189.227201,62.234138,4.725,,False,0.675,0.98,3.351,26.494,48.8,0.01566,0.01623,0.01682,0.02727,0.07305,0.10707,0.08273,0.09169
22,80519,JADESGNO,189.086983,62.290799,5.275,,False,0.68,0.99,3.074,24.197,186.0,0.01461,0.03514,0.03069,0.04109,0.23819,0.34502,0.95577,0.76076
23,80630,JADESGNO,188.987777,62.291093,4.65,,False,0.7,0.99,3.293,24.674,113.0,0.11647,0.10836,0.10483,0.13741,0.33307,0.59453,0.43322,0.49022
24,73791,JADESGNO,189.124342,62.24588,4.575,,False,0.703,0.97,3.433,26.215,48.0,0.02412,0.03099,0.01981,0.03788,0.08978,0.13527,0.10389,0.11856
25,55862,JADESGNO,189.243569,62.154853,5.275,,False,0.717,0.97,3.199,25.574,155.1,0.00379,0.01217,0.01153,0.01516,0.06104,0.09815,0.23363,0.214
26,64675,JADESGNO,189.234795,62.199956,4.575,,False,0.723,0.98,3.023,26.216,65.8,0.02026,0.02364,0.02137,0.03166,0.06193,0.10806,0.10075,0.11845
27,171819,PRIMERCO,150.17002,2.47841,3.95,,False,0.738,0.98,3.046,26.252,35.9,0.01825,0.02928,0.0225,0.03961,0.1016,0.13035,0.08744,0.11461
28,895,A2744O,3.575986,-30.419029,7.75,,False,0.738,0.96,2.951,27.359,31.1,0.00551,0.00532,0.00557,0.0068,0.01229,0.02972,0.03397,0.04135
29,69986,JADESGNO,189.212588,62.227434,4.35,,False,0.739,0.99,3.179,24.76,184.9,0.0897,0.08679,0.08478,0.11759,0.2894,0.42609,0.41471,0.4531
30,104712,JADESGSO,53.065507,-27.827437,4.175,,False,0.759,0.85,4.131,27.529,26.8,0.00572,0.00751,0.00644,0.01,0.02272,0.03251,0.02593,0.03535
31,139669,PRIMERCO,150.129271,2.282166,8.025,,False,0.789,0.97,3.354,24.795,345.4,0.01243,0.02098,0.02631,0.03749,0.06603,0.17235,0.18683,0.43861
32,903,A2744O,3.598795,-30.41873,4.375,,False,0.797,0.98,3.087,25.876,75.7,0.027,0.03042,0.03594,0.05089,0.11263,0.19265,0.14359,0.16196
33,55397,JADESGNO,189.26316,62.151226,6.575,,False,0.817,0.97,2.982,26.655,52.0,0.01665,0.01052,0.01112,0.01342,0.02586,0.05819,0.06145,0.07907
34,79955,JADESGNO,189.12575,62.287398,4.65,,False,0.834,0.86,3.94,25.602,52.8,0.04327,0.05847,0.0515,0.07267,0.15572,0.25298,0.18863,0.20856
35,45230,CEERSO,214.859082,52.876592,6.375,,False,0.852,0.97,4.033,24.097,301.0,0.04403,0.08431,0.10657,0.11555,0.28053,0.71411,0.68312,0.83371
36,179431,PRIMERUO,34.321628,-5.291474,4.5,,False,0.853,0.98,3.193,27.048,14.9,,0.0153,0.01599,0.01976,0.0454,0.0686,0.04385,0.05507
37,68052,JADESGNO,189.171957,62.217581,6.775,,False,0.918,0.98,2.904,27.963,17.3,-0.0001,0.00427,0.00402,0.00937,0.01477,0.05866,0.07602,0.02371
38,60732,JADESGNO,189.274941,62.18017,4.9,,False,0.944,0.97,2.971,25.794,90.5,0.02337,0.01905,0.01586,0.0331,0.09666,0.17126,0.16448,0.17476
39,76720,JADESGNO,189.092772,62.266212,4.675,,False,0.946,0.76,5.376,26.214,28.1,0.01569,0.02425,0.02906,0.04125,0.09787,0.12205,0.09911,0.11871
40,671,A2744O,3.610208,-30.420997,4.55,,False,0.949,0.95,4.245,24.25,217.0,0.15139,0.15347,0.17825,0.22115,0.53221,0.75091,0.6725,0.72475
41,194348,PRIMERUO,34.283636,-5.243913,2.475,,False,0.954,0.96,2.805,25.994,46.6,0.03326,0.03116,0.03755,0.04021,0.07629,0.14299,0.12984,0.14533
42,235209,PRIMERUO,34.465651,-5.085875,4.9,,False,0.961,0.97,9.835,24.924,14.1,,0.06357,0.07561,0.04981,0.48315,0.52022,0.90865,0.38932
43,15893,CEERSO,215.137019,52.955644,8.25,,False,1.017,0.98,3.879,26.141,31.2,0.00485,0.0131,0.00742,0.00792,0.01512,0.04055,0.05436,0.12699
44,20016,CEERSO,214.899799,52.801539,9.9,,False,1.023,0.97,2.947,26.603,41.5,0.00037,0.00512,0.00833,0.01146,0.01917,0.03204,0.05664,0.08295
45,55227,JADESGNO,189.27932,62.15007,7.475,,False,1.027,0.95,3.406,25.189,134.9,0.0194,0.03402,0.03448,0.03591,0.0683,0.14469,0.44068,0.30496
46,77685,JADESGNO,189.065887,62.27324,5.6,,False,1.043,0.98,3.349,26.312,46.9,0.0141,0.01489,0.0142,0.01592,0.0442,0.07396,0.09127,0.10841
47,196040,PRIMERUO,34.470021,-5.238087,7.85,,False,1.044,0.98,3.637,24.277,136.7,0.00967,0.04564,0.064,0.07377,0.11929,0.30865,0.33644,0.70683
48,79298,JADESGNO,189.05773,62.28356,5.45,,False,1.053,0.99,3.16,24.735,155.4,0.04892,0.04718,0.05544,0.05389,0.2147,0.42658,0.59254,0.46324
49,126661,PRIMERCO,150.098275,2.192187,3.1,,False,1.079,0.97,3.016,25.59,63.1,0.02497,0.03384,0.02375,0.04374,0.07853,0.14223,0.1892,0.21082
50,155312,PRIMERCO,150.107054,2.357607,4.65,,False,1.114,0.96,3.07,25.202,188.5,0.06627,0.05179,0.05179,0.05746,0.1484,0.2327,0.25514,0.30156
51,166781,PRIMERCO,150.141564,2.426328,6.775,,False,1.125,0.98,3.05,26.438,64.4,0.01436,0.01022,0.01635,0.01776,0.05476,0.12276,0.15691,0.09658
52,170506,PRIMERCO,150.202213,2.463549,5.925,,False,1.126,0.91,4.239,24.61,109.5,-0.02168,0.03715,0.04527,0.07136,0.25033,0.41681,0.47046,0.52016
53,83571,JADESGSO,53.126084,-27.906899,5.525,,False,1.129,0.98,3.324,26.889,41.1,0.01018,0.01212,0.01356,0.01497,0.03258,0.05508,0.06283,0.06375
